sale_express_rules_id,bs_warehouse_id,bs_express_service_id,hangzhou_carrierservice_id,sort_order,max_length,second_length,third_length,volume_weight,volume_weight_v3,any_length_sum,perimeter,girth,gross_weight,two_width_height,volume,remark,auto_refresh_count,erp_sku,enable_flag,sfp_to_general,ctime,mtime
176,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_13,,,,,,1,1,1,1746525781
288,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_2,,,,,,1,1,1721117252,1721117252
294,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_3,,,,,,1,1,1721117309,1746526314
313,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_20,,,,,,1,1,1721118447,1746526628
321,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_13,,,,,,1,1,1721119469,1746525776
323,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_6,,,,,,1,1,1721119569,1746525850
325,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_12,,,,,,1,1,1721119649,1746525892
327,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_22,,,,,,1,1,1721119740,1746525965
329,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,2,LT_120,LT_60,LT_60,,,,,LT_297,LT_12,,,,,,1,1,1721119950,1746526010
331,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_16,,,,,,1,1,1721120168,1746526101
333,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_30,,,,,,1,1,1721120404,1721120404
335,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_2,,,,,,1,1,1721120510,1740212798
337,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_3,,,,,,1,1,1721120595,1746526311
341,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,2,LT_120,LT_60,LT_60,,,,,LT_297,LT_20,,,,,,1,1,1721120850,1746526571
343,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,1,LT_120,LT_60,LT_60,,,,,LT_297,LT_20,,,,,,1,1,1721120925,1746526624
396,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,2,LT_120,LT_60,LT_60,,,,,LT_297,LT_20,,,,,,1,1,0,1746526576
419,MY-DE,DeDHL>PAKET>德国发本土,3,0,,,,,,,,,,,,,,G-VN24-0513-WT-1,1,1,1733361330,1737599585
420,MY-DE,DeDHL>PAKET>德国发本土,3,0,,,,,,,,,,,,,,G-VN24-0513-WT-2,1,1,1733361330,1733361330
448,MY-KE,DeDHL>PAKET>德国发本土,3,6,LT_200,,,,,,,LT_357,LT_31.5,,,,2,,1,1,1740130203,1765243060
554,MY-DE,DeDHL>PAKET>德国发本土,3,2,LT_120,LT_60,LT_60,,,,,LT_297,LT_20,,,,2,,1,2,1744698213,1751284476
565,MY-KS,DeDHL>PAKET>德国发本土,3,3,LT_200,,,,,,,GT_297@LTE_360,LT_31.5,,,,,,1,2,0,1751339824
584,MY-KS,DeDHL>PAKET>德国发本土,3,3,LT_200,,,,,,,LT_357,LT_31.5,,,,2,,1,1,1746589021,1746589021
664,MY-DE,DeDHL>PAKET>德国发本土,3,7,LT_200,,,,,,,LT_357,LT_31.5,,,,2,,1,2,1751337330,1751337330
670,MY-KE,DeDHL>PAKET>德国发本土,3,6,LT_200,,,,,,,LT_357,LT_31.5,,,,2,,1,2,1751339369,1755086874
697,MY-DE,DeDHL>PAKET>德国发本土,3,4,LT_120,LT_60,,,,,,LT_297,GT_20@LT_31.5,,,,2,,1,1,1752634415,1752634465
698,MY-KE,DeDHL>PAKET>德国发本土,3,2,LT_120,LT_60,LT_60,,,,,LT_297,LT_31.5,,,,2,,1,1,1752634728,1765242777
699,MY-KE,DeDHL>PAKET>德国发本土,3,2,LT_120,LT_60,LT_60,,,,,LT_297,LT_31.5,,,,2,,1,2,1752634829,1755086865
700,MY-DE,DeDHL>PAKET>德国发本土,3,4,LT_120,LT_60,,,,,,LT_297,GT_20@LT_31.5,,,,2,,1,2,1752634992,1752634992
701,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,3,LT_120,LT_60,LT_60,,,,,LT_297,GT_22@LT_31.5,,,,2,,1,1,1752635261,1752635261
703,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,3,LT_120,LT_60,,,,,,LTE_297,GT_13@LTE_31.5,,,,2,,1,1,1752635469,1767059185
704,MY-DE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,3,LT_120,LT_60,,,,,,LT_297,GT_12@LT_31.5,,,,2,,1,1,1752635574,1752635574
705,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,3,LT_120,LT_60,,,,,,LT_297,GT_22@LT_31.5,,,,2,,1,1,1752635672,1752635672
706,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,3,LT_120,LT_60,,,,,,LT_297,GT_16@LT_31.5,,,,2,,1,1,1752635742,1752635749
707,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,3,LT_120,LT_60,,,,,,LT_297,GT_12@LT_31.5,,,,2,,1,1,1752635819,1752635819
708,MY-KE,DeDHL>PAKET_INTERNATIONAL>德国发欧盟,3,3,LT_120,LT_60,,,,,,LT_297,GT_13@LT_31.5,,,,2,,1,1,1752635874,1752635874
8,MY-DE,DPD>Classic>公司账号自买面单,5,3,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1702430947,1762253990
10,MY-DE,DPD>Classic>公司账号自买面单,5,5,LT_175,,,,,,,LT_297,LT_31,,,,,,1,1,1702430947,1762254016
23,MY-DE,DPD>Classic>公司账号自买面单,5,2,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1702430947,1762254225
30,MY-DE,DPD>Classic>公司账号自买面单,5,2,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1702430947,1762254222
32,MY-DE,DPD>Classic>公司账号自买面单,5,4,LT_175,,,,,,,LT_297,LT_31,,,,,,1,1,0,1762254170
38,MY-DE,DPD>Classic>公司账号自买面单,5,2,LT_120,LT_60,LT_60,,LT_148,,,LT_297,LT_31,,,,,,1,1,1702430947,1762254219
40,MY-DE,DPD>Classic>公司账号自买面单,5,4,LT_175,,,,,,,LT_297,LT_31,,,,,,1,1,1702430947,1762254165
